Q_ID,Question,Reference Answer,Answer
4838,"Doctor, I've been experiencing lower body pain and my foot/toe feels stiff or tight. Any idea what it might be?","1. **Most Likely Disease:**
Spondylitis. This is because Spondylitis includes both ""Lower body pain"" and Stiffness as a symptom, and although Flat feet also includes foot or toe stiffness or tightness, Spondylitis appears to be a better fit because the symptom list is more comprehensive.

2. **Recommended Medication(s):**
Cyclobenzaprine
Diazepam (Valium)
Carisoprodol (Soma)
Orphenadrine (Flexon)
Methocarbamol
Tizanidine
Bupivacaine
Metaxalone (Skelaxin)
Methadone
Nabumetone
Chlorzoxazone

3. **Suggested Medical Test(s):**
Plain x-ray (X ray)
Physical therapy exercises (Exercises)
Other therapeutic procedures
Insertion of catheter or spinal stimulator and injection into spinal canal
Magnetic resonance imaging (Mri)
Other non-OR or closed therapeutic nervous system procedures
Physical therapy exercises; manipulation; and other procedures",503
3457,"Doctor, I am experiencing an eyelid lesion or rash, diminished vision, and leg weakness. What could this be?","Here's an analysis of the symptoms and a possible answer based on the provided data and general medical knowledge:

1. **Most Likely Disease:**
**Chalazion complicated by secondary issues/other condition**. Based on the provided information, the ""Eyelid lesion or rash"" is a symptom of Chalazion. Also the associated symptom of diminished vision is associated with Chalazion. ""Leg weakness"" is not directly linked to Chalazion in the provided data. This suggests the leg weakness may be related to a separate neurological or musculoskeletal issue, or a complication arising from the initial eyelid condition (if it is severe and untreated). Because there are two separate conditions, it is difficult to pick one single ""most likely"" disease.

2. **Recommended Medication(s):**
*   Erythromycin Ophthalmic
*   Tobramycin Ophthalmic
*   Dexamethasone-Tobramycin Ophthalmic
*   Insulin (if Diabetic Retinopathy becomes primary concern)

3. **Suggested Medical Test(s):**
*   Ophthalmic examination and evaluation (Eye exam)
*   Biopsy
*   Neurological exam (due to leg weakness)
*   Other therapeutic procedures on eyelids; conjunctiva; cornea",503
261,"Doctor, I have been experiencing some pain and swelling around my bellybutton. I also noticed some redness and discharge from the area. What could be the problem?","1. **Most Likely Disease:** Neither Peritonitis nor Ischemia of the Bowel completely fits the provided symptoms. The redness and discharge point more towards a localized infection or inflammation around the umbilicus (bellybutton), which is not directly covered by the table. Therefore, a more accurate assessment would require further information and a physical examination. If forced to choose based solely on the table, given the abdominal pain, Peritonitis is a slightly closer match than Ischemia of the Bowel, although it doesn't explain the redness and discharge as well.

2. **Recommended Medication(s):**

*   Metronidazole
*   Given the high probability of an infection, a broad-spectrum antibiotic would be necessary.

3. **Suggested Medical Test(s):**

*   Hematologic tests (Blood test)
*   Radiographic imaging procedure
*   Complete blood count (Cbc)
*   Culture of the discharge",503
245,"Doctor, I have an open wound from my surgical incision. What medical tests do I need?","1. **Most Likely Disease:** Surgical Site Infection. An open surgical incision is inherently at risk of infection.

2. **Recommended Medication(s):**
    *   Cephalexin
    *   Clindamycin
    *   Mupirocin (topical)

3. **Suggested Medical Test(s):**
    *   Wound culture
    *   Complete blood count (CBC)
    *   Radiographic imaging procedure
    *   Wound care management",503
768,"Doctor, I have been experiencing difficulty in passing urine lately. It feels like something is blocking my bladder. What should I do?","Based on the provided table:

1.  **Most Likely Disease:** Pelvic organ prolapse. The symptom ""difficulty in passing urine"" aligns with ""retention of urine,"" which is listed as a symptom of Pelvic organ prolapse. While Vocal cord polyp also lists ""retention of urine,"" it is less likely given the presenting symptom.

2.  **Recommended Medication(s):**
    *   Estradiol
    *   Estrogens, Conjugated (Usp) (Premarin)
    *   Tolterodine (Detrol)
    *   Solifenacin (Vesicare)
    *   Darifenacin (Enablex)
    *   Selegiline
    *   Bethanechol
    *   Imipramine
    *   Eprosartan (Teveten)

3.  **Suggested Medical Test(s):**
    *   Pelvis exam
    *   Urinalysis
    *   Examination of breast
    *   Rectal examination
    *   Mammography (Mammogram)
    *   Ultrasonography (Ultrasound)",503
1792,"Hi doctor, I've been feeling hot and cold lately along with some elbow cramps or spasms. I also feel like vomiting sometimes and have had seizures in the past. What could be the reason for these symptoms? ","1. **Most Likely Disease:**

Cysticercosis. This is because the provided table lists cysticercosis as having all the mentioned symptoms: seizures, vomiting, elbow cramps or spasms, and feeling hot and cold.

2. **Recommended Medication(s):**

Based on the table, for Cysticercosis and Poisoning due to ethylene glycol the recommended medications are:

*   Lorazepam

3. **Suggested Medical Test(s):**

Based on the table, for Poisoning due to ethylene glycol the recommended medical test is:

*   Toxicology screen",503
1906,"Doctor, I have been vomiting, my throat feels tight and I am experiencing incontinence of stool.","Based on the provided table and the patient's symptoms:

1.  **Most Likely Disease:** Foreign body in the gastrointestinal tract. The table directly links vomiting and throat tightness to this condition, which aligns with the patient's report. While fecal incontinence isn't explicitly listed, a foreign body could potentially cause bowel obstruction or irritation leading to this symptom.

2.  **Recommended Medication(s):** Glucagon

3.  **Suggested Medical Test(s):** Radiographic imaging procedure, Plain x-ray (X ray)",503
4140,"Doctor, I am experiencing eye redness, a swollen eye, a headache, spots or clouds in vision, and pain in my eye. What could be causing these symptoms?","1. **Most Likely Disease:**
Corneal disorder. This is because the patient experiences eye redness, a swollen eye, a headache, spots or clouds in vision, and pain in the eye. Corneal disorder presents with diminished vision, pain in the eye, eye redness, and spots or clouds in vision. Other diseases present similar symptoms.

2. **Recommended Medication(s):**
Prednisolone Ophthalmic, Tropicamide Ophthalmic, Phenylephrine (Duramax)

3. **Suggested Medical Test(s):**
Ophthalmic examination and evaluation (Eye exam)",503
4932,"Doctor, I have this strange rash on my skin and I've noticed a few skin growths. What could be causing this?","1. **Most Likely Disease:**
Alopecia. This is because it is the only disease that lists both ""skin rash"" and ""skin growth"" as symptoms, which are the patient's presented symptoms. While other diseases list one or the other, Alopecia is the only condition in the provided table that includes both symptoms.

2. **Recommended Medication(s):**
Triamcinolone Topical Product
Clobetasol Topical
Fluocinonide Topical
Betamethasone Topical Product
Salicylic Acid Topical
Ketoconazole
Hydroxychloroquine (Plaquenil)
Anthralin Topical

3. **Suggested Medical Test(s):**
Complete physical skin exam performed (ML)
Other therapeutic procedures
Biopsy
Excision (Removal)
Other diagnostic procedures on skin and subcutaneous tissue
Excision of skin lesion",503
218,I had an accident last night and I think I might have injured one of my internal organs. ,"Okay, here's an analysis based on the provided table and the user's statement ""I had an accident last night and I think I might have injured one of my internal organs."":

1. **Most Likely Disease:** Injury to the abdomen

   Explanation: Given the accident, injury to the abdomen directly aligns with the scenario. The symptom ""Sharp abdominal pain"" also supports this. Other conditions might be exacerbated by trauma, but injury is the most direct consequence.

2. **Recommended Medication(s):**

*   Vecuronium
*   Bisacodyl (The Magic Bullet)
*   Memantine (Namenda)
*   Sennosides, Usp (Perdiem)
*   Zosyn
*   Mecamylamine
*   Grepafloxacin (Raxar)
*   Malathion Topical
*   Gemtuzumab (Mylotarg)

3. **Suggested Medical Test(s):**

*   Radiographic imaging procedure
*   Hematologic tests (Blood test)
*   Complete blood count (Cbc)
*   X-ray computed tomography (Scan ct)
*   Urinalysis
*   Kidney function tests (Kidney function test)
*   Intravenous fluid replacement",503
4598,"Doctor, I've been experiencing some strange symptoms lately. I've been abusing alcohol a bit more than usual, and I've been experiencing delusions or hallucinations. I've been slurring my words, too, and I even fainted at work the other day. ","1. **Most Likely Disease:**
Substance-related mental disorder. The patient reports abusing alcohol more than usual, experiencing delusions or hallucinations, and slurring words. These symptoms, along with a history of alcohol abuse, strongly suggest a substance-related mental disorder.

2. **Recommended Medication(s):**
*   Lorazepam
*   Quetiapine (Seroquel)
*   Risperidone
*   Haloperidol
*   Benztropine
*   Ziprasidone (Geodon)
*   Naltrexone

3. **Suggested Medical Test(s):**
*   Hematologic tests (Blood test)
*   Complete blood count (Cbc)
*   Urinalysis
*   Glucose measurement (Glucose level)
*   Kidney function tests (Kidney function test)
*   Electrocardiogram",503
1629,"Doctor, I've been having knee pain and heartburn lately.","1. **Most Likely Disease:** Injury to the knee. This is the only disease in the table that lists both knee pain and heartburn as symptoms.

2. **Recommended Medication(s):**
    * Chondroitin-Glucosamine
    * Cortisone
    * Piroxicam
    * Nabumetone
    * Pentazocine (Talwin)
    * Alendronate-Cholecalciferol

3. **Suggested Medical Test(s):**
    * Radiographic imaging procedure
    * Plain x-ray (X ray)
    * Magnetic resonance imaging (Mri)
    * Application of splint (Splinting)
    * Physical therapy exercises (Exercises)",503
5324,"Doctor, I have been experiencing burning chest pain, regurgitation, problems with the shape and size of my breast, and I'm also having some smoking-related problems. What could be wrong with me?","1. **Most Likely Disease:** Coronary atherosclerosis. The combination of burning chest pain and the mention of a breast examination, along with smoking-related problems, strongly suggests this condition.

2. **Recommended Medication(s):**
*   Nicotine

3. **Suggested Medical Test(s):**
*   Examination of breast",503
4465,"Doctor, I have been experiencing some symptoms lately. I have been abusing alcohol, feeling depressed, and having temper problems. I also have some fears and phobia. ","Here's an analysis of the patient's symptoms based on the provided information:

1.  **Most Likely Disease:** Substance-related mental disorder.
    *   **Why:** The patient presents with a combination of symptoms including alcohol abuse, depression, temper problems (excessive anger), and fears/phobias. These align strongly with the listed symptoms for Substance-related mental disorder.

2.  **Recommended Medication(s):**
    *   Lorazepam
    *   Quetiapine (Seroquel)
    *   Risperidone
    *   Haloperidol
    *   Benztropine
    *   Ziprasidone (Geodon)
    *   Efavirenz
    *   Naloxone (Suboxone)
    *   Nicotine
    *   Didanosine (Videx)
    *   Nelfinavir (Viracept)
    *   Naltrexone

3.  **Suggested Medical Test(s):**
    *   Hematologic tests (Blood test)
    *   Complete blood count (Cbc)
    *   Urinalysis
    *   Glucose measurement (Glucose level)
    *   Kidney function tests (Kidney function test)
    *   Electrocardiogram
    *   Intravenous fluid replacement",503
